	hCiPSCs_5_corr	hCiPSCs_5_pval	hCiPSCs_5_qval	hCiPSCs_5_ci_low	hCiPSCs_5_ci_high
LIN28B	0.2669221021433892	3.73348991771025e-132	6.276700160007669e-129	0.24644998294696965	0.2871561213087055
L1TD1	0.26669689185083617	6.349721962577308e-132	6.276700160007669e-129	0.24622222529321378	0.28693362850022214
USP44	0.2634732267454242	1.1983514836568307e-128	6.286310585803591e-126	0.24296234502641478	0.2837486222068498
SCG3	0.26344758570905286	1.2718888388069988e-128	6.286310585803591e-126	0.2429364177915843	0.283723286869218
TDGF1	0.26050019321769513	1.1417644379119284e-125	4.514536587503765e-123	0.23995632256647817	0.2808108452592678
FAM60A	0.26034535201111475	1.627889471504695e-125	5.3638958086079696e-123	0.2397997740265943	0.2806578298540756
NLGN4X	0.2600113323554952	3.495934809021437e-125	9.873518739193401e-123	0.23946207499186942	0.28032774525642273
HMMR	0.25852643988612306	1.0305640979613824e-123	2.546781527087066e-121	0.2379608859328366	0.2788602880229382
EIF3A	0.25286614544087077	3.337645869379793e-118	7.331695426404278e-116	0.2322393711496382	0.273265584298782
HSPD1	0.2516163345504207	5.2572927951712266e-117	1.0393667856053515e-114	0.23097623497631145	0.2720300700119868
NCL	0.24897355332444443	1.6967285266516192e-114	3.049483906536592e-112	0.22830550592674265	0.26941729795236335
DLGAP5	0.2476892211280642	2.739356096414159e-113	4.513089168842326e-111	0.22700770402184886	0.26814744085402487
HNRNPD	0.2469498950391983	1.3481561371181206e-112	2.0502343716019416e-110	0.22626065740264428	0.26741641511628855
AK4	0.2462154581117658	6.529223975489268e-112	9.220196999673059e-110	0.2255185750974663	0.2666902003228941
ZFP42	0.24617874212267224	7.063982630146205e-112	9.310329106532697e-110	0.22548147753077372	0.2666538947647117
ESRP1	0.24381018567304888	1.101460749789676e-109	1.3609924389588682e-107	0.22308843224483754	0.26431169251145775
NLRP2	0.24214850960527284	3.678757330606949e-108	4.278178378005846e-106	0.22140972493866928	0.2626683610446556
