	hCiPSCs_2_corr	hCiPSCs_2_pval	hCiPSCs_2_qval	hCiPSCs_2_ci_low	hCiPSCs_2_ci_high
CNTNAP2	0.21383763498978084	4.993044636168168e-84	4.113020519043529e-82	0.19282755374539853	0.23465172955902583
NR6A1	0.21313041557029588	1.8106112089617886e-83	1.4318313440469823e-81	0.1921140133611373	0.23395141750324971
RANBP1	0.21306548565225358	2.0374413478815313e-83	1.5492390556776105e-81	0.19204850422807088	0.23388712066840872
HEY2	0.21277231002372518	3.4699168170338534e-83	2.540750202694788e-81	0.1917527156236899	0.2335968013090997
SNRPD1	0.2126919171152138	4.014803922475067e-83	2.8347383409761454e-81	0.1916716068672934	0.23351719098136933
LINC00678	0.21251312998054808	5.551914795027824e-83	3.672941237906904e-81	0.19149122877580763	0.23334014324030866
SFRP2	0.21251098804518181	5.5735071895400666e-83	3.672941237906904e-81	0.19148906778880395	0.2333380221351442
DPPA4	0.21222323012288286	9.384916665999943e-83	5.985154918929642e-81	0.19119875223062704	0.2330530608406622
PEBP1	0.21204032721206767	1.3064490381813855e-82	8.071405464014372e-81	0.19101422556320857	0.2328719336456541
FRAT2	0.21178370517892411	2.0769391674103014e-82	1.2442753739303534e-80	0.1907553278226893	0.23261780059520665
CECR2	0.21137160310730485	4.3668171808815984e-82	2.5232892110193588e-80	0.19033957737783025	0.23220968955768903
NASP	0.21135899456503737	4.467128092345855e-82	2.5232892110193588e-80	0.19032685733004712	0.2321972030081406
CLDN6	0.2112927422404781	5.0332137803415004e-82	2.7640732343708737e-80	0.1902600192092609	0.2321315915886133
NCL	0.21003018330405412	4.851108980678711e-81	2.5920655283248142e-79	0.1889863341179939	0.23088121002489126
DDX21	0.20990532760160435	6.064447112344933e-81	3.1551084055541927e-79	0.1888603819862616	0.23075755481267257
CYP2S1	0.2097856310409291	7.510604066727917e-81	3.8072985230566903e-79	0.1887396349517561	0.2306390085045872
GLDC	0.20966602665475234	9.298821012412869e-81	4.5959422853850606e-79	0.18861898153631101	0.23052055286689513
SOX2	0.20914773046570434	2.3425199624615396e-80	1.1295516989723083e-78	0.1880961468038605	0.23000722754614103
LECT1	0.2087458947699403	4.7864588354618305e-80	2.2530545518352475e-78	0.18769080058052207	0.22960923778274964
RBPMS2	0.20809510683160426	1.51773170967035e-79	6.978036255856471e-78	0.1870343424236184	0.22896466367527737
XRCC5	0.2078550600202428	2.3206939749417698e-79	1.0427299973772452e-77	0.18679220886859296	0.22872690425029546
LIN28B	0.20640909776181654	2.9614545224679543e-78	1.3010656868709213e-76	0.1853337308921701	0.22729466777153629
GMNN	0.2059352381524555	6.792799578301634e-78	2.919427123109202e-76	0.1848557899272877	0.2268252866114384
