	hCiPSCs_6_corr	hCiPSCs_6_pval	hCiPSCs_6_qval	hCiPSCs_6_ci_low	hCiPSCs_6_ci_high
COL3A1	0.23798443923446924	2.1430703991618057e-104	2.463284987873773e-103	0.21720351506906718	0.2585497382485871
DCN	0.22034032907010068	2.860590930372458e-89	2.667635976106769e-88	0.1993894090214682	0.24108989979691953
IGFBP5	0.21496192116524104	6.378135771561559e-85	5.554878599285111e-84	0.19396193427452957	0.23576499043527677
COL1A2	0.20146894652540098	1.5315345153144006e-74	1.1214236062135445e-73	0.18035151993848464	0.222400729094578
FGF7	0.18599559326989062	1.5032924255220915e-63	9.556299438125964e-63	0.164753438108256	0.2070652918715154
COL1A1	0.18598955993997246	1.517547475993257e-63	9.615997948841888e-63	0.1647473582160006	0.2070593102973685
TMSB4X	0.18353246233979448	6.8926686907290375e-62	4.218825387483377e-61	0.1622714321069073	0.20462315948038837
LUM	0.1813432875064945	1.9714274594029275e-60	1.166919786598679e-59	0.1600657073308071	0.20245242726586313
B2M	0.1785114988700828	1.414590552567914e-58	8.225428007137547e-58	0.15721282581907667	0.19964418717686525
FBXO32	0.17674823572216117	1.9510768743300557e-57	1.0989398804987237e-56	0.15543660838903262	0.19789541155244042
C1S	0.1756753113907148	9.500923774663256e-57	5.306024379239904e-56	0.15435586896646314	0.19683123682200168
COL5A1	0.17214880789437623	1.6058681250053056e-54	8.650684695192069e-54	0.15080403809563386	0.19333314042920408
RARRES1	0.17115580969812833	6.672775486839161e-54	3.5558159400218386e-53	0.1498040076035307	0.1923480439595309
CYP1B1	0.17030766262724206	2.2368127607923073e-53	1.1698885788588336e-52	0.14894988864631764	0.1915066121496187
MFAP4	0.16583596755433963	1.1834858955227066e-50	6.061532682508785e-50	0.1444472348149521	0.18706980672273982
RARRES3	0.16351208825402144	2.8709723151980635e-49	1.4405868698341552e-48	0.14210761637923236	0.18476371696176858
IGFBP3	0.16300843994990466	5.694093596584815e-49	2.828448000112608e-48	0.141600588504109	0.18426389328046844
LGALS1	0.16268766149294545	8.796909027927898e-49	4.35876921007856e-48	0.14127766342082973	0.18394554503181448
IFI27	0.1621418401130138	1.840151442919081e-48	9.004899511512433e-48	0.14072819991547977	0.18340384852845298
WNT2	0.1611128587684481	7.34499994891558e-48	3.559084534070123e-47	0.1396923883169929	0.1823826082752299
IFI6	0.1601776652949265	2.5633909224287574e-47	1.2360545984491837e-46	0.1387510278048852	0.18145441051071462
BST2	0.15963728371089767	5.2595147746846035e-47	2.523801143095015e-46	0.13820710037961315	0.18091805396557908
SFRP4	0.15904809977841497	1.1481305647962257e-46	5.482739436237049e-46	0.13761406510882682	0.18033324415176682
NNMT	0.15847508257488455	2.446018886779046e-46	1.1541239472940748e-45	0.13703731698482585	0.17976446660946271
NUPR1	0.15764688417451975	7.260841103015321e-46	3.3775724378026566e-45	0.13620375186156508	0.17894237075914585
TYMP	0.15235861839352513	6.5547771572940714e-43	2.918647396389725e-42	0.1308819339268886	0.17369237012977562
IFIT3	0.15201300015151026	1.0139604748823016e-42	4.484563442600247e-42	0.13053416594476847	0.17334921051272156
COL6A2	0.15194582608736928	1.1035508382546185e-42	4.869910730422725e-42	0.13046657467245507	0.17328251370349465
XAF1	0.15070283754867186	5.249569268161845e-42	2.285990846510125e-41	0.12921590214327508	0.1720483209706819
CD248	0.15003678036449544	1.2041093498625156e-41	5.231921285007018e-41	0.12854575561051707	0.17138694945553412
FMOD	0.14946853832309967	2.4374397639260496e-41	1.0430342885891342e-40	0.12797404028490394	0.17082268974811984
POSTN	0.147174658117695	4.082080918670568e-40	1.728110059145977e-39	0.12566628434025123	0.16854474302999176
OAS2	0.1470212878508975	4.920483654196553e-40	2.0741569689438346e-39	0.12551199463431348	0.1683924299445164
MX2	0.14663405074444794	7.878527775382678e-40	3.2999680957482104e-39	0.12512244071067774	0.16800785752236275
TGM2	0.14537809674431607	3.594407304360598e-39	1.4928872354455677e-38	0.12385901805128073	0.16676050131376272
IFIT1	0.14528760940098898	4.00765259386226e-39	1.6610333706636662e-38	0.12376799531001255	0.16667063076977948
SP100	0.14417157688070847	1.5250337181931567e-38	6.22932161336337e-38	0.12264538919431575	0.16556217637738552
VIM	0.1440708876618829	1.7195410024445073e-38	7.009345488315033e-38	0.12254410961023215	0.16546216820441284
SYNPO2	0.14406220535693423	1.7374252338737568e-38	7.06767425384448e-38	0.1225353764198258	0.16545354460458983
ELN	0.14071527157396485	8.934852621861985e-37	3.597597481348502e-36	0.1191690751694296	0.1621289973093782
CRYAB	0.1402717607135335	1.4951843212569185e-36	5.995901426216892e-36	0.11872303504230412	0.16168841645980125
IFI44L	0.13975198631380276	2.727828180509808e-36	1.0894780430036143e-35	0.11820030752638225	0.16117206503228018
APOL1	0.1397413725651782	2.7614589690593403e-36	1.1006863673044993e-35	0.11818963359982144	0.16116152105827988
PSMB9	0.13930167610732916	4.5838098323595986e-36	1.8197172768222744e-35	0.11774744852353795	0.1607247108610911
IFIT2	0.13777100110567284	2.6410328709749646e-35	1.029846545545859e-34	0.116208176789405	0.1592040180741757
IFI35	0.1376809049473346	2.9259561094327254e-35	1.1387037851079723e-34	0.11611757785152607	0.1591145063035734
SPARC	0.1376590552885345	2.999533448431277e-35	1.1650447205400067e-34	0.11609560631526984	0.15909279831440098
MGP	0.13722406155954922	4.913768981644625e-35	1.8973674368577e-34	0.11565819058235241	0.15866062070031609
DPT	0.13666846343698344	9.208400577901391e-35	3.5487344917175538e-34	0.11509951110622853	0.15810860752914338
TMSB10	0.13598782596818332	1.980507187607386e-34	7.588106026937601e-34	0.1144151174106781	0.15743234355250804
LGALS3BP	0.13423074317638312	1.4041529047525921e-33	5.328234726863483e-33	0.11264843248350286	0.15568645805538855
IL1R1	0.1335812285329192	2.8771116224230564e-33	1.083438033815311e-32	0.11199540290356863	0.15504104861312348
SEPP1	0.13303390506082458	5.2513207985082624e-33	1.9699926411102154e-32	0.11144513199096144	0.15449717022923393
EPSTI1	0.13277033131761637	7.009906102742092e-33	2.6197702013461466e-32	0.11118014357584495	0.15423525089133192
RSPO3	0.13271514973508153	7.446332247602213e-33	2.7776224251904855e-32	0.11112466620740837	0.1541804152918154
OAS1	0.13257534946435723	8.676510597924088e-33	3.2243348594165264e-32	0.110984117177548	0.15404149096297476
SELM	0.13182618716061165	1.9631415370019979e-32	7.227431692091155e-32	0.11023095713473513	0.1532970081996495
SULF1	0.13178714737780803	2.048206179510982e-32	7.526586648500393e-32	0.11019170970463078	0.15325821160536954
GBP1	0.13163659877489964	2.4119129829127438e-32	8.846664132130788e-32	0.11004036098476887	0.1531086001873969
SOD3	0.13162979299854774	2.429790180854979e-32	8.89573182879684e-32	0.11003351906158569	0.15310183675464703
RAMP1	0.13136645147947082	3.2324636658577676e-32	1.1790739238746875e-31	0.10976878045510911	0.15284013212668293
OASL	0.13119470900057367	3.892613121977769e-32	1.417255274797431e-31	0.10959612849368831	0.15266945555049935
IGFBP6	0.13052728932635252	7.995568726113062e-32	2.8950987859936855e-31	0.10892518679362471	0.15200616598819452
ACTA2	0.1299217139004441	1.531323596937893e-31	5.524501370704771e-31	0.10831643272956971	0.15140432123004513
MYLK	0.12984192398860742	1.6678258356007938e-31	6.005995768638923e-31	0.10823622521215956	0.15132502167904888
FAP	0.1292274684715447	3.213233991538253e-31	1.146672130193344e-30	0.10761856317269453	0.1507143331259832
SAMD9	0.12855238918046127	6.580017157035527e-31	2.3354926246784986e-30	0.1069399802258045	0.1500433735508573
CCDC80	0.12762162696421792	1.7565293253409996e-30	6.2011758503556365e-30	0.10600442037726426	0.14911825890977165
CDH11	0.12696158107305208	3.5085064064961425e-30	1.2320279157447378e-29	0.10534099545908274	0.14846219516502127
FBN1	0.1268892643509201	3.783946107345069e-30	1.326393874861915e-29	0.10526830968981654	0.14839031358909363
HSPB6	0.12687310352947234	3.8483741312082004e-30	1.3465903818404625e-29	0.10525206642794831	0.14837424997993418
RP11-572C15.6	0.12650178022845124	5.668735761936639e-30	1.973079331223369e-29	0.10487885209112037	0.14800515717689247
BDKRB1	0.12601894172225975	9.363823564201113e-30	3.230764255920698e-29	0.10439356374521054	0.1475252100695238
G0S2	0.12589910392914874	1.0602754000404142e-29	3.65185447017404e-29	0.10427311951081351	0.1474060883364143
TGFB1I1	0.12558477177235025	1.4679738749117028e-29	5.038514497743813e-29	0.10395719968460332	0.14709363142620366
MSC	0.12553092938143462	1.5519771741009972e-29	5.31760636602716e-29	0.10390308577739482	0.1470401098182487
IFIH1	0.12504406940390456	2.5640571387149443e-29	8.739898212481802e-29	0.10341377647713244	0.14655614474334847
FBLN5	0.12491741725058692	2.920833413706811e-29	9.938877209807857e-29	0.10328648887100622	0.146430243984368
RSAD2	0.12404889235710681	7.110753921463543e-29	2.3908096093084055e-28	0.10241362540868573	0.1455668530461906
CFB	0.1237242981135355	9.899614279613084e-29	3.3228416690653766e-28	0.10208741826190482	0.14524416910456905
HSPB7	0.12299715326389161	2.0707829962752823e-28	6.927137028149295e-28	0.10135667712965035	0.1445212870321599
IFI16	0.12271401444347434	2.7568600930328058e-28	9.206608790415299e-28	0.10107214428949012	0.1442398018555057
EMP3	0.12219666819227565	4.6423635918443515e-28	1.5477154841612617e-27	0.10055226005426941	0.1437254681150158
HLA-B	0.12179334146419775	6.958310997684952e-28	2.315922700744638e-27	0.10014696289528065	0.14332448189286653
SPON2	0.12098920998209771	1.5529546411745112e-27	5.1169855426700146e-27	0.09933892431029988	0.14252499568982524
TMEM176B	0.12051151196270603	2.495513345048607e-27	8.195398477011787e-27	0.09885891877764061	0.14205004391421966
S100A6	0.11802996138732252	2.8437780028831904e-26	9.26218964036255e-26	0.09636554322884777	0.1395825999686035
A2M	0.11787049854234759	3.319198228345194e-26	1.0775131194480213e-25	0.0962053298154697	0.13942403445389595
DIRC3	0.11701919193882498	7.548944072147654e-26	2.4306616336540574e-25	0.09535003522927625	0.13857749962585533
GLIPR1	0.11690603339965289	8.416309666115642e-26	2.7055356438879063e-25	0.0952363490030011	0.13846497299502236
COL6A3	0.11630310041391934	1.4997446638186111e-25	4.813303896703562e-25	0.09463061391686381	0.13786539756797017
SAMD9L	0.11562133684661072	2.8716014392827034e-25	9.171496034671896e-25	0.09394570121949734	0.13718741150578756
PTGDS	0.11552332652069519	3.151671741032086e-25	1.0049766180678119e-24	0.09384723986144307	0.13708994257269763
GUCY1A3	0.11541392225639008	3.496351835245428e-25	1.1113002537427991e-24	0.09373733263223857	0.13698114214617743
THBS2	0.11533836127168672	3.755956822527193e-25	1.191898336779496e-24	0.09366142457901044	0.13690599790336022
PTGIS	0.11471384981933896	6.776623967079271e-25	2.1367441121077702e-24	0.09303405425468883	0.13628492131823225
RRAS	0.11445004747814991	8.686597558615174e-25	2.730270806579046e-24	0.09276904945784498	0.1360225648186167
DPP4	0.1136336074565024	1.8663442178199136e-24	5.810649635637747e-24	0.09194890742798287	0.13521058034879319
TIMP3	0.1129008833643434	3.689937320070339e-24	1.141628494801105e-23	0.09121288597241156	0.13448183026854696
DES	0.11226818570858123	6.623229250602483e-24	2.0332491037952034e-23	0.09057736014982316	0.13385254533770444
PSMB8	0.11181080784310406	1.008836699419437e-23	3.087415100235645e-23	0.09011794880071328	0.13339762369486605
TSPO	0.11117939846537649	1.798310680096901e-23	5.478058882205814e-23	0.08948374737116704	0.13276959018070278
NR2F2	0.11018243958893961	4.4495248315522164e-23	1.3491887411010324e-22	0.08848241582523896	0.1317779262979556
OAS3	0.10971525568339946	6.783466243361488e-23	2.0443464577935462e-22	0.08801319793890541	0.13131320880003267
CLDN11	0.10912630990254948	1.1513252733458098e-22	3.448742523340403e-22	0.08742170178453182	0.13072735871914973
ITGA1	0.10849956297263454	2.015189696160617e-22	6.000045224863765e-22	0.08679225759580725	0.13010388961538324
NEAT1	0.1080085777838275	3.117322672480605e-22	9.225968448344545e-22	0.08629917151681724	0.12961546029702428
CHI3L1	0.10730811647506973	5.788663775722679e-22	1.7004737421402283e-21	0.08559573139454044	0.12891862715629654
IFI44	0.10719693649412715	6.383814344818856e-22	1.872522397582623e-21	0.08548408059510659	0.12880802108989187
ADAM12	0.1071410068942422	6.705701346856431e-22	1.964025416701506e-21	0.08542791435398255	0.1287523799970716
HSPB3	0.10672445646871878	9.665039192590013e-22	2.822419864660333e-21	0.08500960582177362	0.128337974023289
CHRDL2	0.10595971348586165	1.8838386846790585e-21	5.468941379751099e-21	0.08424165506537126	0.12757714838042275
COL11A1	0.10571425812799963	2.3314501371307247e-21	6.7485752871265626e-21	0.08399517559518377	0.1273329449563233
RTP4	0.10562303951227317	2.5233490996517435e-21	7.282717036513135e-21	0.08390357706578719	0.1272421909289402
DDX58	0.10559498739586011	2.585444507247059e-21	7.45105508866973e-21	0.0838754081897527	0.12721428161284906
COLEC12	0.10537429009991088	3.1296780047226364e-21	8.99327531298932e-21	0.08365379350967089	0.12699470659039364
C10orf54	0.10495398189047808	4.497980815408415e-21	1.2869042072449257e-20	0.08323174412503992	0.12657652984056714
C3	0.10493195913950981	4.584093986314013e-21	1.3096465044715033e-20	0.08320963035713455	0.12655461855908787
