	hCiPSCs_1_corr	hCiPSCs_1_pval	hCiPSCs_1_qval	hCiPSCs_1_ci_low	hCiPSCs_1_ci_high
MALAT1	0.23351897973918606	7.1041540272059e-64	7.794725424263903e-63	0.2072276938884413	0.2594731920831845
ATG9B	0.22881410648419842	2.611280250423827e-61	2.6711220894960395e-60	0.2024657800679581	0.25483139133067456
AP002856.5	0.20728253448655917	2.5496157356784844e-50	2.205923041794072e-49	0.1806890530646996	0.23357315625979297
MOGAT3	0.1991667431518247	1.7198033246020116e-46	1.425187227644874e-45	0.17248761721554332	0.22555386511336215
DDX5	0.1827590800853975	2.9241513257390765e-39	2.225981861919204e-38	0.1559180981566811	0.20933036660955312
PIF1	0.17922903303421173	8.582785496738137e-38	6.38507224075519e-37	0.15235520185719292	0.2058380286652715
NEAT1	0.17162292423321102	9.805423705938674e-35	6.92728494908761e-34	0.1446806867800015	0.19831086651730206
TRIML2	0.1671900360295261	5.108552842698965e-33	3.495887729289466e-32	0.14020942558344537	0.19392253648208868
GRM4	0.1647030626995333	4.4727835686607164e-32	2.9981388835664324e-31	0.13770140571634285	0.191460092964009
PTPRZ1	0.15858091853315198	8.063488555038535e-30	5.296552348526985e-29	0.13152892657966625	0.18539689793002057
ZNF728	0.15427553063059288	2.748620753930548e-28	1.781614244461913e-27	0.1271893966013725	0.18113174270670795
DST	0.15071216085040248	4.721918218160914e-27	3.020797192334864e-26	0.1235985530944683	0.17760090739268514
NABP1	0.1505621739095397	5.314217019247526e-27	3.388676047338358e-26	0.12344742531926932	0.1774522746864346
CTC-260E6.6	0.14279643979944912	2.0413400909633145e-24	1.2450906641776242e-23	0.1156243413361219	0.16975498112092707
MUC16	0.1298775427105252	1.9772364071334075e-20	1.106351083649576e-19	0.10261750251707133	0.1569426484863242
MAFB	0.12795893792959334	7.16105724409225e-20	3.9285800076528433e-19	0.10068663204323845	0.15503909248574646
RP11-479O17.10	0.126464758600071	1.9247275876492928e-19	1.0413677636758158e-18	0.09918304266727851	0.1535564936171034
MEG3	0.12570676943434703	3.163958205034923e-19	1.6978180094777566e-18	0.09842032746261586	0.15280433251989672
RASD1	0.12538424869857825	3.905509059998933e-19	2.090032641372726e-18	0.09809580554185722	0.15248428207811068
ALPK2	0.12512416090273962	4.626452733743923e-19	2.462426333082131e-18	0.09783410817362896	0.15222618224141068
AIRE	0.12242468541397084	2.6282347923707823e-18	1.3875949280151119e-17	0.09511814963228421	0.14954712166185297
CMYA5	0.11923859280755615	1.943485894128278e-17	1.0124685135458721e-16	0.09191312564969309	0.14638461155140867
C1orf63	0.11769276230690076	5.032728987978854e-17	2.5942991423597034e-16	0.09035831396939892	0.14485002287375817
RP11-297N6.4	0.11481808743993441	2.8560382657489714e-16	1.432824676543822e-15	0.08746729166930034	0.14199590622211444
BHLHE22	0.11237786876450018	1.2051371834896836e-15	5.844171428083305e-15	0.08501355767055116	0.13957278409077534
ITGAM	0.10989546826851086	5.049754384028779e-15	2.424869831352695e-14	0.08251774874298487	0.13710744143640613
KCNQ1OT1	0.1089546263509615	8.619029321855125e-15	4.098734524969362e-14	0.08157191469827403	0.13617297641767875
NDRG1	0.10622877656860324	3.952662077165247e-14	1.8439497196086808e-13	0.07883187992188528	0.13346532860907107
CD48	0.10472111581057172	9.026924432122468e-14	4.171501078750242e-13	0.07731655125367447	0.13196756065763507
SNORD3A	0.1027217177394027	2.6502753153068213e-13	1.2173827409299234e-12	0.07530717958248817	0.12998109010849596
GRM8	0.10271545109538825	2.6591506917461156e-13	1.2173827409299234e-12	0.0753008820285443	0.12997486363873317
C2CD4A	0.10228113589571969	3.350870772031976e-13	1.5234051380256483e-12	0.07486442991724153	0.12954332751241418
C2CD4B	0.10217487761023855	3.545361245155609e-13	1.6081038072715048e-12	0.07475765042051652	0.1294377475744989
ADAM12	0.10188804098914414	4.1274116239202004e-13	1.863502627443511e-12	0.07446940996636411	0.12915273901738783
DIO3	0.10113808107163584	6.129362233791439e-13	2.742156589331751e-12	0.07371580125031978	0.12840753745001196
ZSCAN10	0.09314556569197577	3.464946242881607e-11	1.472977147406813e-10	0.06568634459288615	0.12046381969457262
XIST	0.09204139830162382	5.896686925283895e-11	2.479891460654726e-10	0.06457735325741405	0.11936611859292033
GALNT6	0.09098674245047908	9.74190680154198e-11	4.088270290219754e-10	0.06351815310828751	0.1183175766988842
PAPPA	0.08720630843565867	5.623426401088256e-10	2.277197825100481e-09	0.0597219383813631	0.11455855740456158
AC023590.1	0.08611585799395502	9.199322769103125e-10	3.6872387588813342e-09	0.05862708376935437	0.11347413838101832
BRDT	0.08402748462358603	2.3218236114451853e-09	9.121155867756552e-09	0.056530460344969766	0.11139713409045136
ZNF676	0.08388313908955103	2.473239204695962e-09	9.69549261082409e-09	0.05638555353845408	0.1112535655366184
SH3PXD2A	0.08313366012717228	3.427605543260048e-09	1.3356780331275265e-08	0.05563317892866787	0.11050810248790528
YPEL2	0.08274654762785769	4.052384158002742e-09	1.5697993069659537e-08	0.05524458303296133	0.11012305218003518
SPINK5	0.0810677077893077	8.303975205030558e-09	3.166797534500974e-08	0.053559406370353765	0.1084530606060197
CAMP	0.08027803676362748	1.1580011424312184e-08	4.382108369431431e-08	0.05276680889065698	0.10766749805918122
COL6A1	0.08011188065393295	1.24143439599855e-08	4.67980259835154e-08	0.05260004143433104	0.10750220206659993
LEFTY1	0.0798510639543876	1.384301170585468e-08	5.1984082199423694e-08	0.052338268193504615	0.1072427324463509
