	hCiPSCs_2_corr	hCiPSCs_2_pval	hCiPSCs_2_qval	hCiPSCs_2_ci_low	hCiPSCs_2_ci_high
HIST1H1D	0.3972745907598732	2.3929211573506407e-195	4.699697153036659e-192	0.3737485960903677	0.4202897494356075
HIST1H4C	0.3674970467784478	1.3267372532154813e-164	1.3028559826576028e-161	0.3433549727610671	0.3911538046977861
HIST1H2AJ	0.34358584119177465	2.453396108917087e-142	1.6061566526377198e-139	0.3189856077081433	0.36772342222213006
HIST1H1B	0.339275207751392	1.5393011238779654e-138	7.55796851824081e-136	0.31459583669014474	0.3634962070732896
HIST1H1A	0.33100922423918044	1.9519860575526192e-131	7.667401234066688e-129	0.30618105246659705	0.35538739371487676
MCM4	0.3201971645585984	1.7130778766338294e-122	5.6074749161814014e-120	0.2951802120314745	0.34477537393062885
MCM5	0.29573653771388475	1.1626235383993374e-103	3.261989470594712e-101	0.2703169511336441	0.32074409987388475
HIST1H2AL	0.2690993351847608	2.956326238371227e-85	7.257780915201363e-83	0.24327979726129628	0.29453778296122424
HIST1H2AH	0.26746872945831557	3.3814848909181456e-84	7.379151473070265e-82	0.2416260106042654	0.29293231035257805
HSPD1	0.26490211739716196	1.5113776296078874e-82	2.9683456645498906e-80	0.23902321529465864	0.2904049675020872
PA2G4	0.2625403879058888	4.798622188140832e-81	8.567721797735087e-79	0.23662851941454824	0.2880790581382893
DTL	0.26156918667745793	1.967982385490511e-80	3.2209311709194695e-78	0.23564385293618878	0.2871224995840073
TPM3	0.25993538064337657	2.0844435230087863e-79	3.1491131378378892e-77	0.23398751502771092	0.2855132112409036
HIST1H1C	0.2577584389117788	4.708271122576508e-78	6.605031774814473e-76	0.23178078504423474	0.28336871359766275
GMNN	0.25664389672091437	2.295070358929145e-77	3.005012123291227e-75	0.2306510954544187	0.2822706828647055
SCGB3A2	0.2560106349099661	5.6246847879114886e-77	6.904300577161353e-75	0.23000925839346562	0.2816467726372857
HNRNPAB	0.2533922670194958	2.227017714319008e-75	2.5728604652485478e-73	0.22735567423428504	0.27906684089755934
HNRNPD	0.25005913537885727	2.2571234746520474e-73	2.4627725023425673e-71	0.22397827226607664	0.275782101417878
HSP90AB1	0.24953398840562052	4.642401085341548e-73	4.7987767008477895e-71	0.223446207458899	0.2752645240161235
EIF3A	0.24857050946398238	1.7351605240409881e-72	1.7039276346082502e-70	0.22247007690121265	0.2743148940603997
DDX21	0.24789388231488618	4.364281081292648e-72	4.0816419255517906e-70	0.22178459611579235	0.27364796269360614
RANBP1	0.24776119999274837	5.227728267260119e-72	4.6669355985903976e-70	0.22165018067762426	0.2735171787489493
HNRNPC	0.2457715186593882	7.728935470317308e-71	6.599838810305736e-69	0.21963462883507073	0.27155585093401835
EIF1AX	0.24573097959165033	8.16281270733251e-71	6.679901732167105e-69	0.2195935649838791	0.27151588733301724
MYBL2	0.24043069904627962	9.419389440500899e-68	7.399872344457506e-66	0.21422546914258422	0.2662900802813836
SNRPD1	0.24007700889301525	1.4983427472879602e-67	1.1318250598744437e-65	0.2138673099737554	0.26594130566405705
NLRP2	0.2395172520825112	3.1185157124849716e-67	2.268431429377957e-65	0.2133004948139711	0.2653893144362212
NCL	0.23934337775072484	3.914321387911476e-67	2.7456168592350494e-65	0.21312443157649286	0.2652178488342547
TDGF1	0.23884909308982968	7.46122382381025e-67	5.053049513780459e-65	0.21262393366186125	0.26473040269807824
XRCC5	0.2361594907031484	2.429643566339002e-65	1.5906066547632666e-63	0.20990076359219886	0.26207777967932344
L1TD1	0.23609657973319564	2.6344503289691667e-65	1.6690517568049817e-63	0.20983707233525128	0.26201572898503056
HNRNPU	0.23602970969847564	2.8710286575431826e-65	1.7620938385671284e-63	0.20976937315345348	0.2619497731292167
NASP	0.23564161240402623	4.726647155062781e-65	2.813071215922213e-63	0.20937646866377355	0.2615669767245604
SCG3	0.2339916524716463	3.894771852445086e-64	2.249803505353573e-62	0.2077061660519632	0.2599394619889869
RP11-267L5.1	0.2331554860454245	1.126776510831851e-63	6.322825906496445e-62	0.20685974888510056	0.2591146140458033
RP11-426L16.8	0.23020858117128398	4.599728989139721e-62	2.5094077040751147e-60	0.2038770310635945	0.25620729702932077
PEBP1	0.22949889392270706	1.1147532020583549e-61	5.91723051038543e-60	0.2031587922062769	0.2555070732240102
GINS2	0.2273393133097376	1.6170806425566046e-60	8.357753636792557e-59	0.20097336337419042	0.25337612204076054
SET	0.22681440897877125	3.0843888927500134e-60	1.5532666116310324e-58	0.200442216060303	0.25285813815920866
MSH2	0.2267765235539344	3.2313308672354435e-60	1.5865834558126027e-58	0.2004038806426065	0.252820751646113
NOP58	0.22596640414974872	8.723105926466462e-60	4.178580497458569e-58	0.19958415818490585	0.2520212820599819
FAM60A	0.22479672716150448	3.6332104792987765e-59	1.6989584241292374e-57	0.1984006811351399	0.25086691888003565
SERBP1	0.22474380541759356	3.8747066850124682e-59	1.769749751014997e-57	0.1983471368308804	0.2508146882522511
RRM2	0.22442107728664004	5.734716244700494e-59	2.55976879649813e-57	0.19802061560355658	0.250496171410144
C1QBP	0.22401593195589883	9.372948624709589e-59	4.0907713553176964e-57	0.19761071680306153	0.2500963048410607
TBCA	0.2235088225445862	1.7311040862529932e-58	7.391061794349736e-57	0.19709767061420733	0.24959579017516123
DEK	0.22301463969965374	3.142827669032944e-58	1.3133007536129153e-56	0.19659771624111463	0.2491080205604218
SMC2	0.22286030083777436	3.7850832044932904e-58	1.5487298778385046e-56	0.19644157768106288	0.24895568190969852
IQGAP2	0.22133197323822773	2.367732606807193e-57	9.490258856672097e-56	0.19489550104311895	0.24744709152929928
