	hCiPSCs_3_corr	hCiPSCs_3_pval	hCiPSCs_3_qval	hCiPSCs_3_ci_low	hCiPSCs_3_ci_high
SERBP1	0.15330033740018476	1.9861920477659775e-43	6.041079505282057e-42	0.13182953723266316	0.17462736373979382
NDUFB7	0.15282983218001722	3.610066365062852e-43	1.081378970262009e-41	0.1313560871714319	0.17416022349544072
CFL1	0.15100935277611904	3.578000718843031e-42	1.0557772270377123e-40	0.1295243058571833	0.17235267341812005
TFAP2A	0.15059728887816393	5.989215657678687e-42	1.74127637576923e-40	0.12910970413365203	0.17194351611129344
MT-CO3	0.15008360233841772	1.1359929657113251e-41	3.254866801755492e-40	0.12859286441293905	0.17143344266873392
YWHAB	0.15000364016477172	1.254761459520672e-41	3.5438048649605267e-40	0.1285124124546101	0.17135404189241363
NDUFS6	0.1498290717533049	1.55868053102595e-41	4.340156915265216e-40	0.12833677575876737	0.1711806981247522
COX5B	0.1492061529458141	3.372415628617142e-41	9.260091246911236e-40	0.1277100559419037	0.17056213848381385
EIF3E	0.1478536219927251	1.7810431893956384e-40	4.823455322513941e-39	0.12634933103330276	0.16921901454783322
NDUFAB1	0.14778813056112688	1.9297231582373303e-40	5.1554901132908136e-39	0.12628344489303833	0.1691539766026918
RIF1	0.14678143244311417	6.587235679611857e-40	1.7363953251456856e-38	0.1252707034037095	0.16815422581416334
UGP2	0.14582141845192867	2.1068295030307474e-39	5.480528851962878e-38	0.12430496804992522	0.16720079602225116
ATP5B	0.14562715122494296	2.663077186253595e-39	6.837537139251113e-38	0.12410954801419007	0.16700785630089843
SRP14	0.14561360927000297	2.7068958262074055e-39	6.860939805656463e-38	0.12409592576163833	0.16699440682249886
IRX1	0.14554537188847524	2.9388413257859354e-39	7.354543419087081e-38	0.12402728388699019	0.16692663530557705
MT-CO2	0.14528011266423918	4.043936570692954e-39	9.99357825032496e-38	0.12376045423261345	0.16666318511796696
EEF2	0.14523183822509375	4.285532425498005e-39	1.0459873586678465e-37	0.12371189432610893	0.16661523957643254
PKIB	0.14520749976422387	4.4127237706109146e-39	1.0638969383533877e-37	0.12368741198061492	0.16659106689709932
RPL4	0.14486827223362764	6.630005005404631e-39	1.579219264540356e-37	0.1233461817248616	0.16625414734062355
PA2G4	0.1444963847812698	1.0347768661556148e-38	2.4354212671305362e-37	0.12297210457821375	0.1658847843304014
UQCRH	0.14422605865774785	1.4290748099505477e-38	3.3238598814967445e-37	0.12270019059813414	0.16561628946492984
HSP90B1	0.1440073706798997	1.854725599525678e-38	4.263712221235193e-37	0.12248022044343652	0.1653990806148911
VRTN	0.1439650419397619	1.9506279548517244e-38	4.432633869818229e-37	0.12243764377241129	0.16535703793159792
YBX1	0.14352210577615995	3.3028009047622927e-38	7.420042487176196e-37	0.12199211796450617	0.16491709045876055
SLC7A3	0.14284151288533917	7.393827649612948e-38	1.6424266587960445e-36	0.12130756286718025	0.1642410732445716
PTPRZ1	0.14280346019344986	7.733680349361524e-38	1.698831783409748e-36	0.12126928924863828	0.1642032757903864
FZD5	0.14255381863495326	1.0382229841050217e-37	2.255567955577613e-36	0.12101819990693652	0.1639553071394515
NDUFB2	0.14226462652691818	1.4593752788697073e-37	3.136070572092838e-36	0.12072733408961867	0.16366804959532946
APOC1	0.1422438685321555	1.4954413686130858e-37	3.179018909406527e-36	0.12070645609949726	0.16364743032251503
PODXL	0.14210062370052862	1.7696585983019328e-37	3.7219309030243845e-36	0.12056238373450648	0.1635051422605723
TPM3	0.1419640450916811	2.077472246825005e-37	4.3233290862874053e-36	0.1204250169483961	0.16336947506664373
ATP5G3	0.14193645703943436	2.1458273213122002e-37	4.4190631398273124e-36	0.12039726978924534	0.16334207101641382
FAU	0.1419244551707712	2.176257717449717e-37	4.435527327214526e-36	0.12038519871343646	0.16333014918542652
DNMT3B	0.1417999802717083	2.518284129464998e-37	5.080252779543164e-36	0.12026000642235418	0.16320650401192865
RANBP1	0.14140024821628325	4.020629249726786e-37	8.0290747744544e-36	0.11985797520509986	0.16280943194581074
EPCAM	0.14117918000992474	5.204862984119922e-37	1.0290014119605085e-35	0.11963563850213609	0.16258983184434928
MIF	0.14105449942388512	6.019504484902098e-37	1.178273303628856e-35	0.11951024344783621	0.1624659783214783
SET	0.14087023695417736	7.460781393306433e-37	1.4460749818202763e-35	0.11932492634100075	0.16228293691335466
HSPD1	0.14078047980997194	8.28226271912445e-37	1.589711980165926e-35	0.11923465601021319	0.1621937740336796
RBM8A	0.1404149065431434	1.2664978029943009e-36	2.407563612038205e-35	0.11886699625763596	0.16183061754367878
PABPC1	0.1402993260594591	1.4481661189848593e-36	2.726689921174349e-35	0.11875075733522268	0.16171579994681184
SERF2	0.14015883447826377	1.7041663580782365e-36	3.1780994634907613e-35	0.118609466197094	0.16157623489690268
MT-ATP6	0.1401508159361051	1.7200639483738566e-36	3.1780994634907613e-35	0.11860140204663269	0.16156826921057518
PTGES3	0.13981779470597405	2.528204663953973e-36	4.6280190931824115e-35	0.11826648915079621	0.16123744069191856
BTF3	0.1397045109695153	2.881490611776074e-36	5.226336641725962e-35	0.11815256304460639	0.16112490175221317
AURKAIP1	0.13954365443351585	3.468923882252643e-36	6.234602286557705e-35	0.11799079535450108	0.16096510182867202
EDF1	0.13944252257068748	3.8976704069707675e-36	6.942067022145232e-35	0.11788909122707973	0.16086463369198095
LDHB	0.13930001954767995	4.5925554705720517e-36	8.106680504750845e-35	0.11774578260416214	0.16072306515958215
HNRNPM	0.13925249387076452	4.8506468770851125e-36	8.486485730971033e-35	0.11769798845411847	0.16067585094529788
NASP	0.13867540343028234	9.407168238784802e-36	1.631401018252417e-34	0.11711764599053764	0.16010253468129274
NMRK2	0.13828455966918185	1.4708736160304992e-35	2.52862359903678e-34	0.11672460810684844	0.15971423883069236
ATP5G2	0.13793141177621251	2.2002910455157493e-35	3.7499787905039966e-34	0.11636948351618107	0.15936338740605138
RPL7	0.13786829641718473	2.364234476971085e-35	3.99495005211268e-34	0.11630601545815021	0.15930068190657254
L1TD1	0.1376199500217369	3.1358354068091585e-35	5.253853050221785e-34	0.11605628297187273	0.1590539465480419
KPNB1	0.1370346299060289	6.088983283203217e-35	1.0115899118397277e-33	0.11546770680566713	0.158472412844709
RPS26	0.13684621969731806	7.534252773019031e-35	1.2412681443548854e-33	0.11527825172040289	0.15828521828969824
HNRNPA1	0.13682719010197494	7.697947745190825e-35	1.257755594400187e-33	0.11525911667886236	0.15826631139074968
DPPA4	0.13650185903159348	1.1111031326001026e-34	1.80053351897574e-33	0.11493198537017238	0.15794307551316467
MT-ND3	0.13642609206223885	1.2100854114871412e-34	1.9449909418781122e-33	0.1148557998115563	0.15786779583753516
DEK	0.136046168963666	1.8549607474018505e-34	2.9574656432366603e-33	0.11447378158063674	0.15749031244841072
RPS5	0.13549625878324423	3.4348581736768766e-34	5.432571687487348e-33	0.11392085015368057	0.15694392246428232
HSP90AA1	0.13544665151634608	3.6307082512328123e-34	5.696754137053389e-33	0.11387097099810246	0.1568946321078232
HNRNPK	0.13531865131853937	4.188790288982143e-34	6.520660158517871e-33	0.1137422697561896	0.15676744913133325
COX5A	0.13500371333156597	5.9513672341388405e-34	9.192072673353505e-33	0.11342560996856768	0.1564545188474748
PARK7	0.13462670226595547	9.051557808105677e-34	1.3872038594282887e-32	0.11304654350688619	0.15607990553210244
RPL21	0.13409725594660218	1.6276829243260047e-33	2.47533010876347e-32	0.1125142213473749	0.155553816015658
ST6GAL1	0.13386816547980468	2.096617146608836e-33	3.1641313731646327e-32	0.11228389034969583	0.15532617425861658
SERPINB9	0.13364933300918305	2.669091919266208e-33	3.99757176090098e-32	0.1120638750614649	0.15510872350063318
SLC25A6	0.13332208360280456	3.826662391899533e-33	5.68820417201908e-32	0.11173486077879924	0.15478353647359566
ATP5J2	0.13321011419391146	4.327739847327143e-33	6.385031103108777e-32	0.1116222885986372	0.15467227164646574
COX6A1	0.13312052451689493	4.775152503547552e-33	6.992945555195193e-32	0.11153221702743421	0.15458324533182516
FST	0.13228013846726522	1.1976432476505092e-32	1.7409858092684238e-31	0.11068732789127717	0.15374812687112063
UBB	0.13203991068810664	1.5559656752610518e-32	2.2453606861248903e-31	0.11044581862219431	0.15350939921705845
TCEB2	0.13190901184377848	1.7941126229550437e-32	2.5702613446247255e-31	0.11031422257414313	0.15337931672807903
PFN1	0.13110369898189583	4.295025296963449e-32	6.108823749709883e-31	0.1095046370490548	0.15257900985722384
SNRPF	0.13097629619632878	4.9285969527359965e-32	6.95988298254219e-31	0.10937656094137883	0.15245239645325753
TUBB	0.12972259435053538	1.8948172744144314e-31	2.6567757102959792e-30	0.10811627154983841	0.15120642488309957
