	hCiPSCs_4_corr	hCiPSCs_4_pval	hCiPSCs_4_qval	hCiPSCs_4_ci_low	hCiPSCs_4_ci_high
COX5A	0.24416469646511094	5.1918058877297437e-110	1.0264200240041703e-106	0.22344659248036372	0.2646622741613246
UQCRH	0.23962100354019536	7.247783337789757e-106	7.164433829405174e-103	0.21885654900957843	0.2601685299201825
RANBP1	0.2372649281611189	9.418841342203617e-104	6.207016444512184e-101	0.21647680088379206	0.2578380043107441
AURKAIP1	0.23628226719431492	7.054761038254251e-103	3.486815643157163e-100	0.2154843395935193	0.25686592877371023
HN1	0.23110260107029487	2.4490184546995827e-98	9.68341896988215e-96	0.21025372539390874	0.2517413706614992
NDUFS6	0.2293668593015689	7.669120435810245e-97	2.5269751835994756e-94	0.20850117754117384	0.2500238370291968
ATP5G3	0.2270470213161804	7.306811679917548e-95	2.063652384456713e-92	0.2061590872466403	0.2477281314213006
RPL8	0.22656502739560452	1.8707842970996831e-94	4.623175694207592e-92	0.20567249997905582	0.24725112235597124
TPI1	0.22619020203431897	3.8802001005280287e-94	8.52350622082657e-92	0.2052941097150909	0.24688016656561007
CLDN6	0.22606515645534392	4.947879362500682e-94	9.781957499663849e-92	0.20516787623773663	0.2467564105661957
EIF3K	0.22398080439547652	2.7814992150094673e-92	4.999112680067015e-90	0.20306382578754295	0.24469345478340027
SNRPG	0.22389611174822344	3.2733383806255836e-92	5.392824982080649e-90	0.20297833682710703	0.24460962755774265
RBM8A	0.2235261756679333	6.660450738914223e-92	1.0129008546794936e-89	0.20260492620250808	0.2442434679945688
PEBP1	0.2227981122043894	2.685284540141437e-91	3.792005382756872e-89	0.20187004233033612	0.2435228197603901
ATP5B	0.2221761485749892	8.799664085197726e-91	1.1597957264290602e-88	0.20124227088588814	0.2429071726231306
RP1-46F2.2	0.2208708593878143	1.049462946187289e-89	1.296742652882669e-87	0.19992484899083898	0.2416150852913448
RPS5	0.22029298438049807	3.1279610391215008e-89	3.637634690790122e-87	0.19934162680105985	0.2410430314903485
SNRPD1	0.219323523991905	1.9399799408803215e-88	2.1307446350668865e-86	0.19836322915595947	0.2400833045460402
TIMM13	0.21911920085344444	2.8466105586146486e-88	2.9619731970427158e-86	0.19815702773400806	0.23988102764700364
UBE2S	0.2182558297117819	1.4324288272342874e-87	1.415955895721093e-85	0.19728574035530025	0.23902628302439927
MCM5	0.2172351793024654	9.585718373437765e-87	9.024269154422125e-85	0.19625577434584848	0.23801578909689278
NDUFAB1	0.21550220896717617	2.3624192262841517e-85	2.1229558228926217e-83	0.1945070930059155	0.23629996048816948
SPINT2	0.21489220152519697	7.248790372763077e-85	6.230808072588088e-83	0.19389158702644513	0.23569595608796876
PGAM1	0.21471799815144416	9.977693762825371e-85	8.219125237127399e-83	0.19371581643829286	0.23552346408744695
LINC00678	0.21436508206739388	1.9044255987140492e-84	1.50601976346307e-82	0.19335972949002303	0.2351740110319081
