	hCiPSCs_4_corr	hCiPSCs_4_pval	hCiPSCs_4_qval	hCiPSCs_4_ci_low	hCiPSCs_4_ci_high
RANBP1	0.2708313307898954	2.1782813421269208e-86	4.278144555937273e-83	0.24503657959552966	0.2962429254390387
COX5A	0.2669192682967101	7.655973565444954e-84	7.518166041266946e-81	0.24106877203675162	0.2923912858890461
MCM5	0.2643219001515559	3.5465082220381706e-82	2.3217807160276557e-79	0.23843486987051024	0.28983357827778206
AURKAIP1	0.26348392609730825	1.2108133655012633e-81	5.945093624611204e-79	0.23758519029801925	0.2890083219213554
RPL8	0.26005996623035516	1.7422078402774176e-79	6.843392396609696e-77	0.234113813474124	0.2856359323161438
HN1	0.25909677358421546	6.952326751190277e-79	2.2757282898896173e-76	0.23313740120285986	0.28468713270538143
UQCRH	0.2533651445402693	2.3129782510848154e-75	6.48955612161511e-73	0.2273281889890019	0.2790401146211831
TPI1	0.2522062241370023	1.1615603335180774e-74	2.85163061878688e-72	0.22615380665537688	0.277898086465606
RPS5	0.2505653956575213	1.1243498446304715e-73	2.453581216504718e-71	0.22449121629995214	0.27628105024089045
NDUFS6	0.2503827802070339	1.4459584293119744e-73	2.8398623551687176e-71	0.22430618825570328	0.27610107373712744
UBE2S	0.24675021370116945	2.061025899878529e-71	3.679868061237665e-69	0.22062602131834652	0.27252062606096933
ATP5G3	0.24665260519563376	2.3520869397289947e-71	3.849582291356455e-69	0.22052714403140386	0.27242440816117497
EIF3K	0.24551621842872617	1.0899950311154513e-70	1.6467309547005741e-68	0.21937602525494423	0.2713041732992643
TXN	0.24509499593956022	1.920300825880691e-70	2.6939077300211974e-68	0.2189493605647295	0.2708889200593157
SNRPG	0.24335926535055266	1.9572849681768196e-69	2.5627384516661824e-67	0.21719130979256365	0.2691776856522021
PRELID1	0.24328588151502925	2.158237810060391e-69	2.6492369118491305e-67	0.2171169860366219	0.2691053338829618
ATP5B	0.24250599964013533	6.085070156674869e-69	7.030045757476143e-67	0.21632713396564807	0.2683364022185405
SNRPD1	0.24199933497728854	1.1907657472136405e-68	1.2992577375153278e-66	0.21581401034321507	0.26783683392353724
RBM8A	0.24152351949079046	2.233528721573205e-68	2.30876337324725e-66	0.2153321423304949	0.26736767007961565
SPINT2	0.2413480272199151	2.8156865333495656e-68	2.765004175749273e-66	0.21515442096095092	0.26719462800243304
PGAM1	0.2410491622275198	4.17541735830722e-68	3.9050093770073235e-66	0.21485176378566997	0.26689993187641664
CLDN6	0.24050423942632188	8.551942091726493e-68	7.63455194006856e-66	0.21429993961942884	0.2663625977572514
PEBP1	0.23973792100130034	2.3364411243050723e-67	1.995117551363114e-65	0.2135239441879067	0.2656069240101895
PRDX1	0.2387402375213227	8.598407994980649e-67	7.036363875892498e-65	0.21251371160675087	0.2646230513904791
TIMM13	0.23819325059150168	1.7518654924870538e-66	1.3762655308978294e-64	0.2119598683383634	0.26408361349129966
C1QBP	0.23719380015703162	6.399464764021145e-66	4.8340572294375106e-64	0.2109479335756187	0.263097914750874
MIF	0.2359481891954727	3.188239967405113e-65	2.3191493688828305e-63	0.20968684218720576	0.261869366763867
FABP5	0.23578193076911552	3.947464463380588e-65	2.768864359314098e-63	0.20951852411359675	0.2617053794698448
HIST1H4C	0.23531525681708093	7.183015043446433e-65	4.864635015630619e-63	0.20904607721416105	0.2612450724053585
