	hCiPSCs_6_corr	hCiPSCs_6_pval	hCiPSCs_6_qval	hCiPSCs_6_ci_low	hCiPSCs_6_ci_high
IGFBP5	0.255167847252912	1.846916695989391e-76	1.7608467917102738e-75	0.22915509329579334	0.2808163970753498
COL3A1	0.24776298068152897	5.215082023331991e-72	4.593013943418848e-71	0.22165198461945482	0.2735189339664923
DCN	0.23889563613012357	7.02196469341925e-67	5.560943007207826e-66	0.21267106117030554	0.2647763023703929
COL1A2	0.2366334627058238	1.3194560201685229e-65	1.0283379458773725e-64	0.21038062145099248	0.26254526346553686
COL1A1	0.22684616722968573	2.9663527202205086e-60	2.0586278242095683e-59	0.2004743515893805	0.25288947812697904
LUM	0.2055897972860247	1.656038718855435e-49	9.708835951737536e-49	0.17897814741356288	0.23190084156110763
COL5A1	0.20545584603356756	1.9189255221565896e-49	1.1216576564034352e-48	0.17884276531024562	0.23176849976001254
FGF7	0.2032288190654008	2.1884220755983024e-48	1.2530789960568705e-47	0.17659209716209717	0.2295680882492566
BST2	0.20266802111969917	4.020775423697525e-48	2.2889283861280984e-47	0.17602538992022354	0.22901395002445551
TMSB4X	0.198032324047174	5.718329960712089e-46	3.060163499411047e-45	0.17134152137780706	0.22443264981698602
C1S	0.19283138149678972	1.2814028809495542e-43	6.51988408856198e-43	0.16608796944843932	0.21929134744888526
CYP1B1	0.18928884245309255	4.672251283039992e-42	2.317247858558218e-41	0.16251046532754884	0.21578858981687013
B2M	0.18826281600982928	1.3061542124921374e-41	6.429290409359794e-41	0.16147444340916536	0.21477395788382372
FBXO32	0.1880961218713954	1.542698746675287e-41	7.574650846175658e-41	0.16130613092406243	0.21460910955889514
RARRES1	0.18786488269538554	1.9428642007894988e-41	9.492003209827302e-41	0.16107264934755852	0.21438042840603844
COL6A2	0.18783457469673823	2.0024442873525276e-41	9.75881037310264e-41	0.1610420476648083	0.21435045546626422
IGFBP3	0.187227797679011	3.6618768785546727e-41	1.7757842443163895e-40	0.16042940182564783	0.21375037593971816
IFI27	0.18720659008071588	3.7398080170830575e-41	1.8091090998894396e-40	0.16040798947831636	0.21372940206490404
LGALS1	0.18458967509072122	4.928871591716425e-40	2.343899226666116e-39	0.15776600301523516	0.21114113974211832
IFI6	0.18433864143691703	6.299102126570809e-40	2.9882399916292215e-39	0.15751258450646974	0.21089283508848575
SFRP4	0.18238933046024655	4.1799662544049086e-39	1.954631838964581e-38	0.15554487503537562	0.2089645985488913
MFAP4	0.1811325186937197	1.3998551413981526e-38	6.453792248136084e-38	0.15427631384464235	0.20772126487961998
RARRES3	0.18039639265845395	2.8295012551786887e-38	1.295370737802085e-37	0.15353334718117553	0.20699299318938422
WNT2	0.1798071773060948	4.958787278047759e-38	2.2648972590897206e-37	0.15293867828790084	0.2064100434294604
CD248	0.1753311730429034	3.299257106094696e-36	1.4367496577317034e-35	0.14842188118623145	0.20198101931848877
POSTN	0.17481222171755373	5.328328318506377e-36	2.310118502769652e-35	0.1478982729279961	0.20146744438358913
TYMP	0.17469016518739347	5.9628972294128615e-36	2.579544087790057e-35	0.14777512328618175	0.201346650243008
NUPR1	0.17386422546996033	1.2739979108660005e-35	5.487131352940406e-35	0.14694180856451847	0.20052923163536593
NNMT	0.17231285510710623	5.247473545102021e-35	2.2355830894968262e-34	0.1453766889587321	0.19899376618700285
SPON2	0.16906457590439317	9.73057745901716e-34	4.0835158396388246e-33	0.14210005801253864	0.19577836455554368
FMOD	0.16605109977042704	1.3857527831453632e-32	5.705699090351139e-32	0.13906080786110311	0.1927948757231767
XAF1	0.16458245565850232	4.964704192976407e-32	2.0398910115074607e-31	0.13757978681519212	0.19134066694448862
TGM2	0.16371249962972156	1.051280690555201e-31	4.292547351871964e-31	0.13670255621042013	0.19047920632540077
IGFBP6	0.1626205784922414	2.6797186852599754e-31	1.0873899788947503e-30	0.1356015643737132	0.18939788981508474
SP100	0.1620528408560101	4.347526463997299e-31	1.7497012244448146e-30	0.13502913685062684	0.18883564032408837
SYNPO2	0.1617101467696159	5.81724507658657e-31	2.326898030634628e-30	0.134683620615557	0.18849625045739166
IFIT1	0.1613785370309226	7.706058653035419e-31	3.0699187007224262e-30	0.13434928626643358	0.18816783197318854
IFIT3	0.16130517461905383	8.1999681492526e-31	3.260068308731196e-30	0.13427532191707725	0.18809517475697557
CDH11	0.15894719666350254	5.944150201726939e-30	2.3255599594007387e-29	0.1318981571859361	0.18575970666186234
S100A6	0.15825555933060992	1.0565532761642079e-29	4.1253889351620367e-29	0.13120095103323606	0.185074614409051
HSPB6	0.15799445714755672	1.3118871332650915e-29	5.112195098675873e-29	0.1309377535061017	0.18481597630150273
