	hCiPSCs_5_corr	hCiPSCs_5_pval	hCiPSCs_5_qval	hCiPSCs_5_ci_low	hCiPSCs_5_ci_high
HMMR	0.3486794136242394	6.586573841067618e-147	1.2936031023856803e-143	0.32417405227863205	0.37271713969717496
EIF3A	0.31138208074152235	1.7401471963141474e-115	1.3391402576542938e-112	0.2862161208303125	0.33611873121070585
DLGAP5	0.31129210820768366	2.04552992513385e-115	1.3391402576542938e-112	0.286124650134778	0.3360303542779262
MKI67	0.2998258964987275	1.1192787020788084e-106	5.49565842720695e-104	0.27447126378234726	0.324763921519939
CENPF	0.2936177500688488	4.0549832034712085e-102	1.5927974023234906e-99	0.2681648816554046	0.31866098660465964
FAM60A	0.2877852747146496	6.068825517006475e-98	1.9865288859001195e-95	0.26224210183948216	0.3129254638308324
HNRNPD	0.2858102068600717	1.4909663454414174e-96	4.183225574924205e-94	0.2602368900055438	0.3109828116313242
HSPD1	0.28557176772693643	2.1903853495864025e-96	5.377396033234619e-94	0.25999482667686263	0.31074827163259333
NCL	0.28494902703970443	5.9704782031071715e-96	1.3028910212113872e-93	0.25936263569961604	0.31013570000451474
HNRNPU	0.28269285021515184	2.2079849312692057e-94	4.33648240501272e-92	0.25707240427934985	0.3079161903174305
L1TD1	0.2810636534884068	2.9292040235445105e-93	5.22996063840129e-91	0.25541879547337404	0.3063133003966103
DDX21	0.27701552920953	1.6680836931337569e-90	2.7300969777622486e-88	0.2513106630661083	0.30232992162509414
TPM3	0.2725929342139549	1.5035712201111834e-87	2.2715491356141262e-85	0.24682356724429966	0.29797705054549406
USP44	0.2717399513170368	5.500715400631316e-87	7.716717890599931e-85	0.2459582712107489	0.2971373937982958
PA2G4	0.2707453440949379	2.48056964212776e-86	3.2478925180926137e-84	0.24494935834181406	0.2961582757162304
LIN28B	0.2699175688925383	8.644870330810373e-86	1.0611578331069734e-83	0.24410971966791223	0.29534335083328583
SLC2A3	0.26967937624853167	1.2371104957309121e-85	1.4292264785973597e-83	0.2438681204741823	0.2951088490188196
TACC3	0.26869252987612086	5.438953412457668e-85	5.934502501148255e-83	0.2428671946940568	0.2941372613333231
PLK1	0.26804857431222434	1.4244274155847806e-84	1.4724081285307946e-82	0.24221408141782894	0.2935032342993344
