	hCiPSCs_3_corr	hCiPSCs_3_pval	hCiPSCs_3_qval	hCiPSCs_3_ci_low	hCiPSCs_3_ci_high
IRX2	0.33421003995755955	3.695003449192341e-134	7.256986774213758e-131	0.3094390276640478	0.35852778422603143
LECT1	0.28831337032198684	2.566518587386569e-98	2.520321252813611e-95	0.26277829475120734	0.31344485646931153
SOX2	0.2631859956083014	1.871499434715198e-81	1.2252082965935497e-78	0.23728310761827878	0.28871490389844334
CCND1	0.26149829066801794	2.1810033153738722e-80	1.0708726278485714e-77	0.23557197607135097	0.2870526704684521
TRIM71	0.25122424511623975	4.52847215672364e-74	1.7787838631610457e-71	0.22515878566701422	0.27693036377957986
PWAR6	0.2451268080254857	1.8399748301300535e-70	6.022850943959042e-68	0.21898158331425163	0.27092028166335497
ID4	0.2407907111885996	5.867843915241623e-68	1.6463493499335065e-65	0.21459003741799793	0.2666450820717262
MT-ND5	0.24044176724336266	9.283437361352505e-68	2.27908387221204e-65	0.21423667730443946	0.26630099454495715
SALL4	0.23841570354014463	1.3118954865730152e-66	2.8628474840326686e-64	0.21218510764374954	0.26430299829494336
MT-ND4	0.23064801356319983	2.654647637169034e-62	5.213727959399982e-60	0.20432177274975513	0.2566408560585575
ID1	0.23047484812551583	3.2971790976035293e-62	5.886963406993938e-60	0.20414651380130255	0.25647000636329437
EIF3A	0.22838981754835602	4.4184449154402776e-61	7.231521511603921e-59	0.2020364084132003	0.25441273137164816
FAM60A	0.22705335845507238	2.2993148713191857e-60	3.473734159439139e-58	0.20068400557502508	0.2530939391265163
MT-ND2	0.22639688430276156	5.148863073716247e-60	7.22311934055622e-58	0.20001973659801567	0.2524461075552384
SCG3	0.22336879417736782	2.0501084896248932e-58	2.684275382415527e-56	0.19695600547037906	0.24945758036229237
SEMA6A	0.22280068597818384	4.066781460340616e-58	4.991974242568106e-56	0.19638126802957395	0.24889683930507378
MT-ND1	0.2203024461391547	8.076591338503165e-57	9.330838464011892e-55	0.19385409171327667	0.24643078862862047
FRAT2	0.2184381020526233	7.33008820852654e-56	7.997940689747847e-54	0.1919683820963843	0.24459024564023393
MT-CO1	0.21508370251420583	3.677315056622887e-54	3.801182511161763e-52	0.18857603299508893	0.24127819529409678
CECR2	0.2111062741689845	3.496342643499432e-52	3.4334084759164416e-50	0.1845544261173203	0.23735019095529625
NUCKS1	0.21053976581478373	6.637436847935735e-52	6.207583794926563e-50	0.1839816977095525	0.2367906522724001
XRCC5	0.21026923509566137	9.008386636315769e-52	8.042032433510987e-50	0.18370820302446614	0.2365234437104302
CDH1	0.20759719355856085	1.79724736804493e-50	1.5346929699305402e-48	0.18100710716902546	0.2338840018969306
GNAS	0.2040919481240609	8.549764933016245e-49	6.996557636851628e-47	0.17746435577898126	0.23042093390814614
RPS8	0.20227646743910976	6.141628306806735e-48	4.8248631978273705e-46	0.17562972079061048	0.22862703609152302
NLGN4X	0.20176679336439615	1.0645557935277441e-47	8.04149068649419e-46	0.17511470265103996	0.2281233889711648
TPI1	0.2010401619981607	2.3259043924863296e-47	1.6918800840159818e-45	0.17438047758632422	0.2274053257135685
EIF1AX	0.19974147635540535	9.329781593134783e-47	6.544175374613111e-45	0.17306829379857547	0.22612188216668364
RP11-1144P22.1	0.19962510619446588	1.0561335045252298e-46	7.15257311340535e-45	0.1729507187437837	0.2260068733190783
MT-CYB	0.1991139230361758	1.8190591705323905e-46	1.1908774036418715e-44	0.17243425181164726	0.2255016613367097
FST	0.194897552521226	1.521042624503734e-44	9.63654101459785e-43	0.16817485878953833	0.2213340012513073
CYP2S1	0.19398775101070675	3.899579030011872e-44	2.3933666296697868e-42	0.1672559048218549	0.22043458371224953
PRDX2	0.19361263296904951	5.741048427376473e-44	3.4167936701113313e-42	0.16687702667593537	0.2200637339658475
NAP1L1	0.19270808971202769	1.4540306173515552e-43	8.399165095524865e-42	0.16596344894118806	0.2191694516408877
MORF4L1	0.19086516273945903	9.515989839678437e-43	5.339829727179557e-41	0.16410225705724363	0.21734729283070034
CTSV	0.1903775661407376	1.5591479626018283e-42	8.50601832930553e-41	0.16360985985235083	0.2168651601365099
SPINT2	0.18999977192211967	2.2836070157648004e-42	1.2088440547035787e-40	0.16322835525084972	0.2164915905152213
YWHAE	0.1899760581037995	2.3389039754957224e-42	1.2088440547035787e-40	0.16320440880202747	0.21646814161248668
SLC7A8	0.18991150472177368	2.496269766658119e-42	1.2570958517221912e-40	0.16313922231672712	0.21640430922463447
CALM1	0.18979801275930497	2.7988779675002836e-42	1.3742490820426392e-40	0.163024617855627	0.21629208430024952
HMGN1	0.18968505138600283	3.1362594030211506e-42	1.5023447481789122e-40	0.162910549902196	0.21618038334625847
CLDN6	0.1893263443455913	4.4994299742584046e-42	2.104019159391311e-40	0.16254833367928195	0.21582567414904172
HNRNPD	0.18865500510262712	8.823637759140029e-42	4.030145246267678e-40	0.16187044620844332	0.21516179828721985
CALM2	0.18726698330446273	3.522105493321731e-41	1.5721398156554274e-39	0.1604689658355934	0.2137891296461498
PDPN	0.18590849833525433	1.350512911143358e-40	5.894238572190122e-39	0.15909741330786845	0.21244556969957684
SOX11	0.1851795869251479	2.765595874098077e-40	1.180789194941005e-38	0.15836153300221484	0.21172462512576373
SNRPD2	0.18471958380287606	4.34066750528736e-40	1.8138448894434843e-38	0.1578971472657266	0.21126963486424014
HNRNPU	0.1840954317895934	7.986194431913969e-40	3.2676845550581324e-38	0.15726706770308277	0.21065226611782287
COX7A2	0.1840047487565047	8.724279247123319e-40	3.496833559459224e-38	0.15717552527367504	0.21056256686290278
ZFAND5	0.18119744141215283	1.3154183653015642e-38	5.1669633389045434e-37	0.15434184133054	0.20778549346877936
