	hCiPSCs_2	hCiPSCs_3	hCiPSCs_4	hCiPSCs_5	hCiPSCs_6	mean_corr
NANOG	0.16221109943635695			0.23695887164709686		0.1995849855417269
HNRNPU	0.20138912669770975	0.15677218457638284		0.2402757661411052		0.19947902580506593
HSPD1	0.2340587737121566	0.14078047980997194	0.17092198953409107	0.2516163345504207		0.19934439440166007
SLIRP	0.19934386679843752		0.21359564499772285	0.18474099988424444		0.1992268372268016
HSP90AB1	0.22816354737756334	0.16216677014878736	0.1620096020280951	0.23926776766190846		0.19790192180408858
TDGF1	0.23434995554989865	0.11739541054844273	0.17856906215915005	0.26050019321769513		0.19770365536879664
SEPHS1	0.2016249858513305		0.17312058240374642	0.21772361867263035		0.19748972897590242
SERBP1	0.202850254742753	0.15330033740018476		0.23359243739212832		0.19658100984502203
RP11-426L16.8	0.2286973155292608		0.21078438331879568	0.1482089223703351		0.19589687373946385
UBE2S	0.14121948047909594		0.2182558297117819	0.22780269493063277		0.19575933504050355
LINC00678	0.21251312998054808	0.15707280147402142	0.21436508206739388	0.1965658172591929		0.19512920769528908
YWHAE	0.19400003705982424	0.17179068695716895		0.21843164279992114		0.19474078893897143
DPPA4	0.21222323012288286	0.13650185903159348		0.23459203680438026		0.1944390419862855
NCL	0.21003018330405412	0.12383156620253709		0.24897355332444443		0.19427843427701186
TPM3	0.21522673931558373	0.1419640450916811		0.22554769608587522		0.19424616016438
HNRNPC	0.2231420760099263	0.15536167648908428	0.1653925665099713	0.2329827856527629		0.19421977616543618
NLRP2	0.23556055246964938	0.11476433779771864	0.17976176160416524	0.24214850960527284		0.19305879036920154
HNRNPD	0.2172671316431728	0.1620726619167647	0.1450356079390704	0.2469498950391983		0.19283132413455153
SPINT2	0.1884531952457155	0.16930476530948502	0.21489220152519697	0.1985326261219361		0.1927956970505834
VSNL1	0.1814345445096232		0.15963125484819446	0.23574793854267104		0.19227124596682957
TOP2A				0.19226022896098213		0.19226022896098213
PA2G4	0.2170980647734473	0.1444963847812698	0.1838912571211327	0.22350850410587372		0.1922485526954309
CYP2S1	0.2097856310409291	0.18552171569214918	0.1679840430254387	0.20549299134855445		0.19219609527676787
HNRNPA3	0.1927096405713488	0.1541741116577006		0.22726853419662557		0.19138409547522497
RP11-1144P22.1	0.18954195727338613	0.1961526426552354	0.18947994390778877	0.18946658800799485		0.1911602829611013
XRCC5	0.2078550600202428	0.1846094773634972	0.13687351423846136	0.23485127058253244		0.19104733055118345
ZFP42	0.20445815250462193	0.1203289834608878		0.24617874212267224		0.19032195936272733
DNMT3B	0.1974167679123858	0.1417999802717083		0.2306875319005474		0.18996809336154716
CKS1B	0.1614500337030037		0.20057622664022526	0.20558886157259132		0.18920504063860677
RBM8A	0.1838276613716566	0.1404149065431434	0.2235261756679333	0.20609003176090177		0.18846469383590878
COX5A	0.18191846550140278	0.13500371333156597	0.24416469646511094	0.18952420327454228		0.18765276964315547
RAN	0.1778200947554736		0.2095075401039018	0.17546334224562332		0.1875969923683329
POU5F1	0.18629552562646198		0.18220538619169085	0.19369717855790136		0.18739936345868471
FKBP4	0.1847690577239164		0.1761532462864017	0.20127465628452984		0.18739898676494934
HEY2	0.21277231002372518		0.14329695435390163	0.2050219539329289		0.1870304061035186
SNRPD1	0.2126919171152138	0.1157205169781811	0.219323523991905	0.1999512669585319		0.18692180626095795
NASP	0.21135899456503737	0.13867540343028234		0.2096899821304457		0.18657479337525515
SET	0.20427824096484096	0.14087023695417736		0.2143517908741361		0.18650008959771813
AURKA				0.18639714096111037		0.18639714096111037
GTSE1				0.18620340611831654		0.18620340611831654
PKIB	0.19209615113994255	0.14520749976422387	0.18014987886618408	0.22620163268419527		0.18591379061363644
GAL	0.19160770071793576		0.18923223663245123	0.1768452074931056		0.1858950482811642
UQCRH	0.18113102812258647	0.14422605865774785	0.23962100354019536	0.17707374733691233		0.18551295941436052
RP11-20D14.6	0.20199611487891203			0.16882002296240706		0.18540806892065953
SNRPF	0.204574093105434	0.13097629619632878	0.21352326447603379	0.19241144194868526		0.18537127393162045
NDUFS6	0.1727349928587237	0.1498290717533049	0.2293668593015689	0.1864109351195556		0.18458546475828824
SNRPG	0.1917754683604328	0.12937683421839682	0.22389611174822344	0.19320576457068311		0.18456354472443404
RBPMS2	0.20809510683160426	0.1236818859750159	0.17304853136803847	0.23184913156785508		0.18416866393562842
HNRNPM	0.19683470569469982	0.13925249387076452		0.21595747267841836		0.18401489074796093
RPS26	0.19761442548292552	0.13684621969731806	0.20784941349409355	0.19334311738947146		0.18391329401595213
AURKAIP1	0.17182711637743633	0.13954365443351585	0.23628226719431492	0.18713054869607756		0.18369589667533617
MCM5	0.24001684872621667	0.11070986457138943	0.2172351793024654	0.16635285754568255		0.1835786875364385
TMSB4X					0.18353246233979448	0.18353246233979448
ATP5B	0.17539283976439035	0.14562715122494296	0.2221761485749892	0.19015600240546562		0.18333803549244704
DDX21	0.20990532760160435	0.12386362528740408	0.16487864588379342	0.23401992115855208		0.18316687998283848
GMNN	0.2059352381524555		0.15722002289516404	0.18168944871754367		0.1816149032550544
GABRB3	0.17749115004968016	0.15783993754568534		0.20810692517159787		0.18114600425565444
HMGN1	0.18974917101214656	0.16757004284332047	0.17042085685387073	0.1949246246118134		0.1806661738302878
ADD2	0.1299503888346425			0.22994296133199096		0.17994667508331674
SLC2A3	0.17742758869981315	0.1224620969165548		0.23986877555729325		0.17991948705788707
UBE2C			0.15867106334957207	0.20069815574551003		0.17968460954754106
EPCAM	0.18660420269686895	0.14117918000992474	0.1886428748275799	0.20124602286128038		0.1794180700989135
NR6A1	0.21313041557029588	0.12233688412913118	0.14052329400695557	0.24131368646283252		0.17932607004230378
FOXH1	0.18596207388273253	0.15644209873762047	0.1817398578177656	0.19287944639512056		0.1792558692083098
RBM47	0.15947786504281014		0.13585445289058862	0.24137229900824383		0.17890153898054753
SFRP2	0.21251098804518181	0.10768874286859836	0.16992747855632187	0.2248008890035649		0.17873202461841672
DLGAP5		0.10952235178677532		0.2476892211280642		0.17860578645741976
CLDN7	0.17624894514395176		0.19549060947919286	0.163686139740884		0.17847523145467623
VSIG10	0.15194607045710187			0.2045758975204015		0.17826098398875168
ESRP1	0.16315995764883878	0.12767664153629724		0.24381018567304888		0.17821559495272832
RPL35			0.17805009365774563			0.17805009365774563
MTHFD2	0.16203131336878848			0.19295872119102894		0.1774950172799087
LDHB	0.1815551786179145	0.13930001954767995	0.2006559421396234	0.18843780185119244		0.1774872355391026
ZSCAN10	0.1400096603983699			0.21424424375234788		0.1771269520753589
CNTNAP2	0.21383763498978084	0.1165254417128517		0.20086742427855064		0.1770768336603944
NUCKS1	0.17189699410598297	0.18329224618923612	0.13678706873512667	0.21550775789152982		0.1768710167304689
TIMM13	0.1696790906539019	0.1288913608167926	0.21911920085344444	0.18899339228133277		0.17667076115136793
NMRK2	0.18930791158449464	0.13828455966918185	0.1976394376491504	0.1812110472202032		0.17661073903075752
KRTCAP3	0.17845362580968388		0.17625047877360592	0.17408962463212052		0.1762645764051368
RP11-132A1.3	0.1727936833541868		0.13605559616372973	0.21925527363183114		0.1760348510499159
HNRNPAB	0.2155622835063681	0.12605923867657248	0.13815625734008577	0.22322360421809737		0.17575034593528094
TRIML2	0.17629848442469176		0.14018601041507278	0.2104469726649592		0.1756438225015746
CYCS	0.1908357904670936	0.10846752452350703	0.20484377724558528	0.1956447682449295		0.17494796512027885
GLDC	0.20966602665475234	0.10645114858223469		0.20765452626276742		0.17459056716658483
APOC1	0.17713698601212724	0.1422438685321555	0.19956985022246462	0.17912635537052685		0.17451926503431858
RP1-46F2.2	0.1433507548684234		0.2208708593878143	0.1580436702751657		0.17408842817713446
TBCA	0.20352053739789494	0.10566654365955803	0.1887996444744553	0.19380746343093838		0.17294854724071165
PTGES3	0.18124740063930703	0.13981779470597405	0.16455425590341513	0.20488743546432164		0.17262672167825446
FABP5	0.18314530582917934	0.10615974156102545	0.21268233567016215	0.18813063934022092		0.17252950560014696
HMGB1	0.16783345207054579			0.17660134514248144		0.1722173986065136
JPH1	0.16500767006666284			0.17781167253236424		0.17140967129951354
HSP90AA1	0.18792926439559351	0.13544665151634608	0.1623067131554712	0.1990757273081932		0.171189589093901
RAB17	0.13062750407066154		0.16804103989468422	0.2143617158154357		0.17101008659359382
SKIL				0.17097030542567207		0.17097030542567207
CTSV	0.16837416451703116	0.1747882062322684		0.16876705602996595		0.1706431422597552
SLC7A8	0.1429734229096175	0.17393876499778874		0.1938004297378455		0.17023753921508392
RPS27A			0.1698589366445286			0.1698589366445286
RP4-792G4.2	0.1766762738284173		0.1565929004428811	0.17462647584486743		0.16929855003872196
SPC25				0.16914459559061618		0.16914459559061618
SNRPB	0.1747978869446577	0.1270855735485533	0.19731324329081187	0.17614135439418432		0.1688345145445518
MORF4L1	0.14795306056036273	0.17170148323172718		0.1851800640867302		0.16827820262627338
CDC20		0.1070049659462543	0.17725932079775464	0.21980318300581494		0.16802248991660795
TOMM7	0.15068413183965013		0.19336695025748712	0.15980395589861895		0.16795167933191876
PGAM1	0.17181824799232143	0.10860525238991374	0.21471799815144416	0.17544937252741694		0.16764771776527407
JADE1	0.18935474550987738	0.11346419765425346		0.19891068306050305		0.16724320874154464
MT1H	0.18347894851028407		0.1502561564156316			0.1668675524629578
GSTP1		0.12877267133989329	0.20361823649703975			0.16619545391846652
LRRN1		0.17140972722681716		0.1593780445109498		0.16539388586888348
DEK	0.18419742036542272	0.136046168963666		0.17576319520170905		0.16533559484359925
PFN1	0.15637582532955208	0.13110369898189583	0.20270106353486084	0.17093316860806815		0.16527843911359422
NPM1	0.17582859585589874		0.15972157832848047	0.1602105081664951		0.16525356078362477
RPL36AL		0.12923284484536307	0.20099768507845162			0.16511526496190734
PRELID1	0.167074303192557	0.11418036326716668	0.21212044801638072	0.16641548442693435		0.16494764972575968
SSBP1	0.17249755933128014	0.12067823379178788	0.19743280465335505	0.16714058331361653		0.1644372952725099
ATP5I			0.16438266055878717			0.16438266055878717
CKS2			0.15504171728835045	0.17332905153369454		0.16418538441102248
H2AFZ	0.14530246155749213		0.18294784198686018			0.16412515177217615
HSPE1	0.16643897851287678		0.17113401320114885	0.1540819877258661		0.1638849931466306
PRDX6		0.12406893640316204	0.2031496591704546			0.16360929778680833
RPSA	0.15776902252603262	0.12637715892311632	0.20693019724946235	0.16303224414970888		0.16352715571208004
ASPM		0.11827493015825183		0.20829725389183096		0.1632860920250414
GINS2	0.1666789302680858		0.15935667724436267			0.16301780375622424
VRTN	0.15173934245086848	0.1439650419397619	0.13921148269011435	0.21663228259451728		0.1628870374188155
LRPPRC	0.1768373590752876	0.11873303403667461		0.19243505259376079		0.16266848190190766
CDT1	0.1679866137475812		0.17306401306439378	0.14648236127490155		0.16251099602895883
TSTD1	0.14352358297960582	0.1626406780876103	0.18533587816891622	0.15769737055100472		0.16229937744678427
TUBA1C	0.13302205283713986		0.17723865766912653	0.1764059226696698		0.1622222110586454
FZD5	0.15745135464545879	0.14255381863495326		0.18586586102024186		0.16195701143355132
PIF1				0.16185800158328614		0.16185800158328614
HELLS	0.18747918026557706	0.1193927941988406		0.17849670203559628		0.16178955883333798
AURKB			0.14239484223661056	0.18104503785560663		0.1617199400461086
SMPDL3B		0.16158842862350717				0.16158842862350717
ATP5J2	0.1416333386870644	0.13321011419391146	0.20807409269451876			0.16097251519183156
CTC-260E6.6	0.1604632229308927	0.10570048660419797		0.21557282600531155		0.16057884518013407
PRDX1	0.1608917184168132	0.11508163987661792	0.20491084625057773	0.16120055371575567		0.16052118956494113
EIF4A1	0.14559968020568778	0.12485382502612902	0.2130393784971924	0.15857473895563365		0.1605169056711607
HSPA8				0.1604405249941809		0.1604405249941809
TUBA4A			0.1646465552030199	0.15614397350186815		0.16039526435244403
SRM	0.13866680617778807		0.18552594113894333	0.15696051417522597		0.16038442049731913
UBL5			0.16019132615904424			0.16019132615904424
ATPIF1			0.16003028050900497			0.16003028050900497
HMGA1	0.16480527552925217		0.15123239006338488	0.16331632052049422		0.1597846620377104
CCNA2	0.13652020663228012			0.18281597434564503		0.15966809048896258
CRABP1	0.17354254698253813	0.12434366710703827	0.16485861677658015	0.1757629615873178		0.15962694811336858
PGD	0.1584891052437048		0.15603664557829194	0.16398195224820972		0.15950256769006882
TUBB	0.15095567627949885	0.12972259435053538	0.18112370850846682	0.17563266643694325		0.15935866139386107
CBS	0.15278490225076174			0.16503558046050687		0.1589102413556343
TMA7	0.13646744180320702		0.18024560983925056			0.15835652582122878
C19orf33	0.13386188164643786		0.1825964880187204			0.15822918483257914
PABPC1	0.16123687589846683	0.1402993260594591		0.17313584389105327		0.1582240152829931
HNRNPK	0.16053097023435592	0.13531865131853937		0.17708063022681592		0.15764341725990375
FAM64A				0.1575806266695206		0.1575806266695206
