	hCiPSCs_1	hCiPSCs_2	hCiPSCs_3	hCiPSCs_4	hCiPSCs_5	hCiPSCs_6	mean_corr
ASPM			0.14731620284789512		0.25814420610113625		0.20273020447451567
TDGF1		0.23884909308982968	0.12108853593890789	0.18448262145639172	0.26585309013150493		0.20256833515415856
SLC2A3		0.1991329311328217	0.13798367870991687		0.26967937624853167		0.2022653286970901
NDUFS6		0.18814231891109118	0.16468413800902695	0.2503827802070339	0.20367044805339185		0.20171992129513597
SNRPG		0.20989121619138232	0.1414125832217648	0.24335926535055266	0.21158968382301746		0.2015631871466793
RRM2		0.22442107728664004		0.16825608598008504	0.21190531011637498		0.2015274911277
SRM		0.17496473035351603		0.22991927793105266	0.19871677768226015		0.20120026198894295
ATP5B		0.19203799408465744	0.159796230509787	0.24250599964013533	0.2087228586278432		0.20076577071560575
NANOG		0.16266670932321983			0.23873267873077536		0.2006996940269976
HNRNPM		0.21443129866155677	0.15153583226079662		0.23596506807453996		0.20064406633229778
DEK		0.22301463969965374	0.16471542644826861		0.2123167637362322		0.20001560996138487
DPPA4		0.2171950240936965	0.14189303324980715		0.2404436018030455		0.19984388638218306
CYCS		0.2185595743271	0.12364111505289534	0.23250467751866497	0.224360134795871		0.19976637542363282
SNRPF		0.2212620801352667	0.14081251685961288	0.22762427461695087	0.20787066631224338		0.19939238448101845
CYP2S1		0.21587927156821193	0.19398775101070675	0.17564235274181253	0.211268132445619		0.19919437694158756
LDHB		0.20580687233323516	0.15481467576308042	0.2219789368523181	0.21381867282458844		0.19910478944330554
RPL35				0.19828962806424427			0.19828962806424427
TMSB4X						0.198032324047174	0.198032324047174
LINC00678		0.21421916490338067	0.1600978057100188	0.21877421115025497	0.19785410856325644		0.1977363225817277
GMNN		0.25664389672091437	0.1201242270377055	0.18822804689070793	0.22551174486233194		0.19762697887791494
CKS2				0.18244385103692531	0.2120697121746218		0.19725678160577356
CDC20			0.12599069992468248	0.20406527398281152	0.26152121154911645		0.19719239515220346
HMGB1		0.19157415172614203			0.20227708189803342		0.19692561681208773
RP11-132A1.3		0.17298587085440154			0.22009625826285434		0.19654106455862794
NR6A1		0.21684357781112037	0.1259542817283262		0.24598787506150388		0.19626191153365014
ACLY					0.19612972220805325		0.19612972220805325
ZFP42		0.21000322501701912	0.12492560615185196		0.25340165855232477		0.19611016324039862
UQCRH		0.19089931510584104	0.15216907648399705	0.2533651445402693	0.18652593904054668		0.19573986879266353
VSNL1		0.18281389487931712		0.16278275492126848	0.2382165505374521		0.1946044001126792
DNMT3B		0.20096379744513979	0.1466888323492439		0.23551093918738147		0.19438785632725505
CENPF		0.15273038493971766	0.13491733086048005		0.2936177500688488		0.1937551552896822
NPM1		0.20826654297603606		0.18253949092522606	0.18986041514859867		0.19355548301662026
RP11-1144P22.1		0.19051269035308957	0.19962510619446588	0.19297433783418685	0.1903729459980776		0.19337127009495497
POU5F1		0.19054617427121073		0.19018325044695836	0.19819266077637315		0.19297402849818077
TIMM13		0.18387661662269955	0.14045516019768867	0.23819325059150168	0.20551674141800824		0.19201044220747454
ATP5I				0.19193541132153033			0.19193541132153033
RBPMS2		0.21547437913893622	0.12982254608579227	0.18149466132088052	0.2405719803520145		0.19184089172440588
GAL		0.19644083000190146		0.19776143039895927	0.18085928661518144		0.19168718233868073
RPS27A				0.19118697192900533			0.19118697192900533
CDK1					0.1911268083423409		0.1911268083423409
SKIL					0.19082378208940004		0.19082378208940004
C19orf33				0.1908055423681337			0.1908055423681337
PLK1			0.13104086316209587	0.17151349856265402	0.26804857431222434		0.1902009786789914
SNRPB		0.19825701385830036	0.14294918046976163	0.21852047891345996	0.20002672203940974		0.18993834882023292
PTGES3		0.19970431858545548	0.15531960234018438	0.1768169401498505	0.2272540824915017		0.189773735891748
PKIB		0.19456323725485636	0.14921201308502421	0.18529789118695847	0.22965144861932404		0.18968114753654078
PRELID1		0.19238391138912878	0.13121616078890713	0.24328588151502925	0.19171687571828228		0.18965070735283684
TUBA1C		0.15287923816118865		0.2059767673377748	0.20686908549428137		0.1885750303310816
APOC1		0.1899182452499217	0.15482515922773316	0.21723865774513207	0.19203902886488103		0.18850527277191698
