metric	value
n_terminal_cells	172.0
n_dynamic_positive	52.0
n_biology_positive	70.0
n_overlap	27.0
n_dynamic_only	25.0
n_biology_only	43.0
n_terminal_neither	77.0
jaccard	0.28421052631578947
overlap_over_dynamic	0.5192307692307693
overlap_over_biology	0.38571428571428573
