time,state,frac_marker_silver,frac_scanvi
StageIII_Day0.33,ambiguous,0.0022708840227088404,0.0
StageIII_Day0.33,epithelial_like,0.32652068126520684,0.5049472830494728
StageIII_Day0.33,hADSCs,0.6671532846715329,0.4940794809407948
StageIII_Day0.33,intermediate_plastic,0.0040551500405515,0.0
StageIII_Day0.33,unknown_or_ood,0.0,0.0009732360097323601
StageIII_Day0.67,ambiguous,0.00035373187124159886,0.0
StageIII_Day0.67,epithelial_like,0.17332861690838344,0.29925716307039263
StageIII_Day0.67,hADSCs,0.8234877962504422,0.7000353731871242
StageIII_Day0.67,intermediate_plastic,0.002829854969932791,0.0
StageIII_Day0.67,unknown_or_ood,0.0,0.0007074637424831977
StageIII_Day1,ambiguous,0.00020538098172109262,0.0
StageIII_Day1,epithelial_like,0.26124460874922983,0.4896282604230848
StageIII_Day1,hADSCs,0.738344629287328,0.5095502156500308
StageIII_Day1,hCiPS,0.00020538098172109262,0.0
StageIII_Day1,unknown_or_ood,0.0,0.0008215239268843705
StageIII_Day2,ambiguous,0.0008629368617862793,0.0
StageIII_Day2,epithelial_like,0.09219042140083417,0.26981159211850997
StageIII_Day2,hADSCs,0.9068028189270818,0.7300445850711923
StageIII_Day2,intermediate_plastic,0.00014382281029771322,0.0
StageIII_Day2,unknown_or_ood,0.0,0.00014382281029771322
StageIII_Day4,ambiguous,0.0004463289444320464,0.0
StageIII_Day4,epithelial_like,0.27359964293684447,0.5492077661236331
StageIII_Day4,hADSCs,0.7259540281187234,0.45056906940415087
StageIII_Day4,unknown_or_ood,0.0,0.0002231644722160232
StageIII_Day6,epithelial_like,0.509367681498829,0.6384660421545667
StageIII_Day6,hADSCs,0.49063231850117095,0.36153395784543324
StageIII_Day8,ambiguous,0.008559201141226819,0.0016642891107941037
StageIII_Day8,epithelial_like,0.5587256300523062,0.6673799334284356
StageIII_Day8,hADSCs,0.42296718972895864,0.330718021873514
StageIII_Day8,hCiPS,0.009272467902995721,0.0
StageIII_Day8,intermediate_plastic,0.00047551117451260106,0.0
StageIII_Day8,unknown_or_ood,0.0,0.00023775558725630053
StageIII_Day12,ambiguous,0.05015255530129672,0.057971014492753624
StageIII_Day12,epithelial_like,0.38729977116704806,0.6348207475209764
StageIII_Day12,hADSCs,0.37509534706331044,0.3056826849733028
StageIII_Day12,hCiPS,0.18745232646834478,0.0
StageIII_Day12,unknown_or_ood,0.0,0.0015255530129672007
StageII_Day4,ambiguous,0.002506265664160401,0.0
StageII_Day4,epithelial_like,0.15338345864661654,0.26131996658312445
StageII_Day4,hADSCs,0.8419381787802841,0.7385129490392648
StageII_Day4,intermediate_plastic,0.002172096908939014,0.0
StageII_Day4,unknown_or_ood,0.0,0.0001670843776106934
StageII_Day8,ambiguous,0.013181332383327396,0.0
StageII_Day8,epithelial_like,0.34609903811898823,0.5381189882436765
StageII_Day8,hADSCs,0.6229070181688635,0.4615247595297471
StageII_Day8,intermediate_plastic,0.017812611328820806,0.0
StageII_Day8,unknown_or_ood,0.0,0.0003562522265764161
StageI_Day0.5,epithelial_like,0.0,0.17564741836898826
StageI_Day0.5,hADSCs,1.0,0.8243525816310118
StageI_Day2,epithelial_like,0.013915547024952015,0.18498080614203455
StageI_Day2,hADSCs,0.986084452975048,0.8150191938579654
StageI_Day4,epithelial_like,0.4827586206896552,0.6647509578544061
StageI_Day4,hADSCs,0.5172413793103449,0.33524904214559387
StageI_Day8,epithelial_like,0.9086350974930362,0.9303621169916435
StageI_Day8,hADSCs,0.09136490250696379,0.06963788300835655
hCiPSCs,ambiguous,0.24174141325749288,0.026361846423102166
hCiPSCs,epithelial_like,0.40789761540144387,0.9643404069131482
hCiPSCs,hADSCs,0.01936119011157296,0.00514110697877926
hCiPSCs,hCiPS,0.3272806825639904,0.0
hCiPSCs,intermediate_plastic,0.0037190986654998905,0.0
hCiPSCs,unknown_or_ood,0.0,0.004156639684970466
